place_id,place_name,address,r_library,r_kidcafe,r_play,r_park,r_house
153,중마루근린공원,서울특별시 영등포구 영등포동2가 222,0,0,0,1,0
154,응봉공원,서울특별시 성동구 금호동1가 산1-72,0,0,0,1,0
155,매화근린공원,서울특별시 강서구 등촌동 630-14,0,0,0,1,0
156,성수근린공원,서울특별시 성동구 성수2가 3동 302-25,0,0,0,1,0
157,샛마을근린공원,서울특별시 강동구 명일1동 288,0,0,0,1,0
158,여의도근린공원,서울특별시 영등포구 여의공원로 68 (여의도동),0,0,0,1,0
159,간데메근린공원,서울특별시 동대문구 서울특별시립대로2길 59(간데메공원),0,0,0,1,0
160,훈련원근린공원,서울특별시 중구 을지로 227,0,0,0,1,0
161,영등포근린공원,서울특별시 영등포구 신길로 275,0,0,0,1,0
162,보라매근린공원,서울특별시 동작구 여의대방로20길 33(보라매공원),0,0,0,1,0
163,어린이대공원,서울특별시 광진구 능동로 216(어린이대공원),0,0,0,1,0
164,천호근린공원,서울특별시 강동구 올림픽로 702(천호공원),0,0,0,1,0
165,용산가족공원,서울특별시 용산구 서빙고로 185,0,0,0,1,0
166,독립근린공원,서울특별시 서대문구 통일로251(독립공원),0,0,0,1,0
167,낙산근린공원,서울특별시 종로구 낙산길 41 (우) 03085,0,0,0,1,0
168,양재시민의숲,서울특별시 서초구 매헌로 99 (양재동),0,0,0,1,0
169,관악산도시자연공원,서울특별시 관악구 관악로 1(관악산공원),0,0,0,1,0
170,효창근린공원,서울특별시 용산구 효창원로 177-18,0,0,0,1,0
171,감로천생태공원(관악산),서울특별시 금천구 독산4동 371?375 373일대,0,0,0,1,0
172,개운산근린공원,서울특별시 성북구 북악산로 949-73(돈암동 6-1),0,0,0,1,0
173,개웅산근린공원,서울특별시 구로구 오류동 산13-1,0,0,0,1,0
174,경희궁,서울특별시 종로구 새문안로 55(신문로2가 2-1),0,0,0,1,0
175,국립현충원,서울특별시 동작구 사당2동 산41-2,0,0,0,1,0
176,계남근린공원,서울특별시 양천구 신정동 산44-2일대,0,0,0,1,0
177,고척근린공원,서울특별시 구로구 고척로45길 39(고척공원),0,0,0,1,0
178,파리근린공원,서울특별시 양천구 목동동로 363 ,0,0,0,1,0
179,허준공원,서울특별시 강서구 허준로5길 42,0,0,0,1,0
180,궁동근린공원,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,0,0,0,1,0
181,궁산근린공원,서울특별시 강서구 가양동 산4-7,0,0,0,1,0
182,까치산근린공원,서울특별시 동작구 사당동 산32,0,0,0,1,0
183,꿩고개근린공원,서울특별시 강서구 방화동 산110,0,0,0,1,0
184,노량진공원,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),0,0,0,1,0
185,답십리근린공원,서울특별시 동대문구 답십리로 209(답십리공원) ,0,0,0,1,0
186,대모산도시자연공원,서울특별시 강남구 광평로10길 30-71(대모산공원) ,0,0,0,1,0
187,탑골근린공원,서울특별시 종로구 종로 99,0,0,0,1,0
188,갈산근린공원,서울특별시 양천구 신정동 162-56,0,0,0,1,0
189,천마근린공원,서울특별시 송파구 마천동 산 1-1,0,0,0,1,0
190,도곡근린공원,서울특별시 강남구 도곡동 산31-1,0,0,0,1,0
191,도산근린공원,서울특별시 강남구 도산대로45길 20(도산공원),0,0,0,1,0
192,청량공원,서울특별시 성북구 화랑로18가길 50,0,0,0,1,0
193,초안산근린공원,서울특별시 도봉구 창동 산157,0,0,0,1,0
194,동명근린공원,서울특별시 강동구 고덕2동 229,0,0,0,1,0
195,마로니에공원,서울특별시 종로구 대학로8길 1,0,0,0,1,0
196,자매근린공원,서울특별시 영등포구 의사당대로 166 (우) 07324,0,0,0,1,0
197,장지근린공원,서울특별시 송파구 장지동 산 11번지,0,0,0,1,0
198,명일근린공원,서울특별시 강동구 상일동 135,0,0,0,1,0
199,방화근린공원,서울특별시 강서구 금낭화로 176(방화공원),0,0,0,1,0
200,아시아근린공원,서울특별시 송파구 올림픽로 44 (잠실동),0,0,0,1,0
201,배봉산근린공원,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,0,0,0,1,0
202,안산도시자연공원,서울특별시 서대문구 홍제동 산33-98,0,0,0,1,0
203,염창근린공원,서울특별시 강서구 염창동 산24-1,0,0,0,1,0
204,백련근린공원,서울특별시 서대문구 통일로 507-22(백련공원) ,0,0,0,1,0
205,오금근린공원,서울특별시 송파구 오금로 363 오금근린공원 ,0,0,0,1,0
206,오동근린공원,서울특별시 강북구 번동 산20-1,0,0,0,1,0
207,봉산도시자연공원,서울특별시 은평구 구산동 산61,0,0,0,1,0
208,온수도시자연공원,서울특별시 구로구 개봉동 산2-60,0,0,0,1,0
209,봉은공원,서울특별시 강남구 삼성동 75,0,0,0,1,0
210,올림픽공원,서울특별시 송파구 올림픽로 424 (방이동),0,0,0,1,0
